DATE;RX1 Comdty;;DATE;TY1 Comdty;;DATE;IK1 Comdty;;DATE;OE1 Comdty;;DATE;DU1 Comdty
2002-01-04 00:00:00;72,05;;2002-01-04 00:00:00;62,21;;2009-09-15 00:00:00;65,37;;2002-01-04 00:00:00;81,15;;2002-01-04 00:00:00;94,51
2002-01-07 00:00:00;72,69;;2002-01-07 00:00:00;62,66;;2009-09-16 00:00:00;65,35;;2002-01-07 00:00:00;81,56;;2002-01-07 00:00:00;94,63
2002-01-08 00:00:00;72,54;;2002-01-08 00:00:00;62,64;;2009-09-17 00:00:00;65,26;;2002-01-08 00:00:00;81,47;;2002-01-08 00:00:00;94,59
2002-01-09 00:00:00;72,32;;2002-01-09 00:00:00;62,66;;2009-09-18 00:00:00;65,31;;2002-01-09 00:00:00;81,28;;2002-01-09 00:00:00;94,44
2002-01-10 00:00:00;72,62;;2002-01-10 00:00:00;63,09;;2009-09-21 00:00:00;65,18;;2002-01-10 00:00:00;81,37;;2002-01-10 00:00:00;94,44
2002-01-11 00:00:00;72,89;;2002-01-11 00:00:00;63,45;;2009-09-22 00:00:00;65,14;;2002-01-11 00:00:00;81,52;;2002-01-11 00:00:00;94,49
2002-01-14 00:00:00;73,13;;2002-01-14 00:00:00;63,5;;2009-09-23 00:00:00;65,13;;2002-01-14 00:00:00;81,7;;2002-01-14 00:00:00;94,59
2002-01-15 00:00:00;73,15;;2002-01-15 00:00:00;63,67;;2009-09-24 00:00:00;65,46;;2002-01-15 00:00:00;81,66;;2002-01-15 00:00:00;94,53
2002-01-16 00:00:00;73,03;;2002-01-16 00:00:00;63,64;;2009-09-25 00:00:00;65,65;;2002-01-16 00:00:00;81,63;;2002-01-16 00:00:00;94,53
2002-01-17 00:00:00;72,78;;2002-01-17 00:00:00;63,25;;2009-09-28 00:00:00;65,64;;2002-01-17 00:00:00;81,51;;2002-01-17 00:00:00;94,44
2002-01-18 00:00:00;72,84;;2002-01-18 00:00:00;63,45;;2009-09-29 00:00:00;65,67;;2002-01-18 00:00:00;81,58;;2002-01-18 00:00:00;94,5
2002-01-21 00:00:00;72,93;;2002-01-22 00:00:00;63,41;;2009-09-30 00:00:00;65,64;;2002-01-21 00:00:00;81,63;;2002-01-21 00:00:00;94,52
2002-01-22 00:00:00;72,65;;2002-01-23 00:00:00;63,02;;2009-10-01 00:00:00;65,61;;2002-01-22 00:00:00;81,37;;2002-01-22 00:00:00;94,34
2002-01-23 00:00:00;72,86;;2002-01-24 00:00:00;62,89;;2009-10-02 00:00:00;65,89;;2002-01-23 00:00:00;81,47;;2002-01-23 00:00:00;94,37
2002-01-24 00:00:00;72,44;;2002-01-25 00:00:00;62,74;;2009-10-05 00:00:00;66,04;;2002-01-24 00:00:00;81,15;;2002-01-24 00:00:00;94,19
2002-01-25 00:00:00;71,89;;2002-01-28 00:00:00;62,76;;2009-10-06 00:00:00;65,99;;2002-01-25 00:00:00;80,66;;2002-01-25 00:00:00;94,03
2002-01-28 00:00:00;72,01;;2002-01-29 00:00:00;63,23;;2009-10-07 00:00:00;66,21;;2002-01-28 00:00:00;80,73;;2002-01-28 00:00:00;94,08
2002-01-29 00:00:00;72,19;;2002-01-30 00:00:00;63,25;;2009-10-08 00:00:00;66,3;;2002-01-29 00:00:00;80,93;;2002-01-29 00:00:00;94,19
2002-01-30 00:00:00;72,28;;2002-01-31 00:00:00;63;;2009-10-09 00:00:00;65,98;;2002-01-30 00:00:00;80,96;;2002-01-30 00:00:00;94,21
2002-01-31 00:00:00;72,42;;2002-02-01 00:00:00;63,22;;2009-10-12 00:00:00;66,03;;2002-01-31 00:00:00;80,96;;2002-01-31 00:00:00;94,19
2002-02-01 00:00:00;72,52;;2002-02-04 00:00:00;63,6;;2009-10-13 00:00:00;65,96;;2002-02-01 00:00:00;81,08;;2002-02-01 00:00:00;94,24
2002-02-04 00:00:00;72,8;;2002-02-05 00:00:00;63,64;;2009-10-14 00:00:00;65,73;;2002-02-04 00:00:00;81,35;;2002-02-04 00:00:00;94,37
2002-02-05 00:00:00;72,87;;2002-02-06 00:00:00;63,52;;2009-10-15 00:00:00;65,4;;2002-02-05 00:00:00;81,41;;2002-02-05 00:00:00;94,41
2002-02-06 00:00:00;72,77;;2002-02-07 00:00:00;63,4;;2009-10-16 00:00:00;65,49;;2002-02-06 00:00:00;81,39;;2002-02-06 00:00:00;94,43
2002-02-07 00:00:00;72,26;;2002-02-08 00:00:00;63,64;;2009-10-19 00:00:00;65,56;;2002-02-07 00:00:00;81,04;;2002-02-07 00:00:00;94,26
2002-02-08 00:00:00;72,38;;2002-02-11 00:00:00;63,56;;2009-10-20 00:00:00;65,88;;2002-02-08 00:00:00;81,17;;2002-02-08 00:00:00;94,31
2002-02-11 00:00:00;72,31;;2002-02-12 00:00:00;63,26;;2009-10-21 00:00:00;65,59;;2002-02-11 00:00:00;81,11;;2002-02-11 00:00:00;94,29
2002-02-12 00:00:00;72,13;;2002-02-13 00:00:00;63,14;;2009-10-22 00:00:00;65,63;;2002-02-12 00:00:00;81;;2002-02-12 00:00:00;94,24
2002-02-13 00:00:00;72;;2002-02-14 00:00:00;63,31;;2009-10-23 00:00:00;65,44;;2002-02-13 00:00:00;80,83;;2002-02-13 00:00:00;94,16
2002-02-14 00:00:00;72,2;;2002-02-15 00:00:00;63,71;;2009-10-26 00:00:00;65,49;;2002-02-14 00:00:00;80,93;;2002-02-14 00:00:00;94,21
2002-02-15 00:00:00;72,44;;2002-02-19 00:00:00;63,64;;2009-10-27 00:00:00;65,93;;2002-02-15 00:00:00;81,11;;2002-02-15 00:00:00;94,32
2002-02-18 00:00:00;72,42;;2002-02-20 00:00:00;63,66;;2009-10-28 00:00:00;66,01;;2002-02-18 00:00:00;81,12;;2002-02-18 00:00:00;94,31
2002-02-19 00:00:00;72,24;;2002-02-21 00:00:00;63,7;;2009-10-29 00:00:00;65,73;;2002-02-19 00:00:00;80,99;;2002-02-19 00:00:00;94,25
2002-02-20 00:00:00;72,3;;2002-02-22 00:00:00;63,9;;2009-10-30 00:00:00;66,09;;2002-02-20 00:00:00;81,08;;2002-02-20 00:00:00;94,3
2002-02-21 00:00:00;72,11;;2002-02-25 00:00:00;63,8;;2009-11-02 00:00:00;66,17;;2002-02-21 00:00:00;80,95;;2002-02-21 00:00:00;94,23
2002-02-22 00:00:00;72,46;;2002-02-26 00:00:00;63,52;;2009-11-03 00:00:00;66,08;;2002-02-22 00:00:00;81,27;;2002-02-22 00:00:00;94,35
2002-02-25 00:00:00;72,19;;2002-02-27 00:00:00;63,98;;2009-11-04 00:00:00;65,94;;2002-02-25 00:00:00;81,05;;2002-02-25 00:00:00;94,27
2002-02-26 00:00:00;72,06;;2002-02-28 00:00:00;63,81;;2009-11-05 00:00:00;65,89;;2002-02-26 00:00:00;80,96;;2002-02-26 00:00:00;94,24
2002-02-27 00:00:00;72,17;;2002-03-01 00:00:00;63,38;;2009-11-06 00:00:00;65,87;;2002-02-27 00:00:00;81,01;;2002-02-27 00:00:00;94,25
2002-02-28 00:00:00;72,34;;2002-03-04 00:00:00;63,27;;2009-11-09 00:00:00;66,12;;2002-02-28 00:00:00;81,14;;2002-02-28 00:00:00;94,32
2002-03-01 00:00:00;71,98;;2002-03-05 00:00:00;63,25;;2009-11-10 00:00:00;66,41;;2002-03-01 00:00:00;80,9;;2002-03-01 00:00:00;94,21
2002-03-04 00:00:00;71,85;;2002-03-06 00:00:00;63,13;;2009-11-11 00:00:00;66,4;;2002-03-04 00:00:00;80,82;;2002-03-04 00:00:00;94,17
2002-03-05 00:00:00;71,62;;2002-03-07 00:00:00;62,41;;2009-11-12 00:00:00;66,34;;2002-03-05 00:00:00;80,63;;2002-03-05 00:00:00;94,14
2002-03-06 00:00:00;71,28;;2002-03-08 00:00:00;62,01;;2009-11-13 00:00:00;66,1;;2002-03-06 00:00:00;80,44;;2002-03-06 00:00:00;94,13
2002-03-07 00:00:00;71,1;;2002-03-11 00:00:00;62,02;;2009-11-16 00:00:00;66,25;;2002-03-07 00:00:00;80,18;;2002-03-07 00:00:00;93,93
2002-03-08 00:00:00;71,08;;2002-03-12 00:00:00;62,1;;2009-11-17 00:00:00;66,48;;2002-03-08 00:00:00;80,12;;2002-03-08 00:00:00;93,89
2002-03-11 00:00:00;71,17;;2002-03-13 00:00:00;62,34;;2009-11-18 00:00:00;66,39;;2002-03-11 00:00:00;80,19;;2002-03-11 00:00:00;93,9
